iter	F1	Logloss
0	0.6787357905	0.6413154898
1	0.6786271544	0.5983721372
2	0.6867279957	0.5654638446
3	0.6898561967	0.5406751127
4	0.692046872	0.5211898366
5	0.6908	0.5046427137
6	0.693094839	0.4925247495
7	0.6938332835	0.4822811903
8	0.6950856488	0.4731560541
9	0.6966407545	0.4658730766
10	0.6969045421	0.4602214953
11	0.6968617096	0.4540698452
12	0.6988468508	0.4496688177
13	0.6984542253	0.446180389
14	0.6989426238	0.4427869063
15	0.6995760958	0.43988729
16	0.6997824299	0.4365840207
17	0.6997111429	0.4341419972
18	0.7013183904	0.4324101581
19	0.701765422	0.4309256491
20	0.7021839957	0.429258244
21	0.7020890311	0.4276839919
22	0.7027630477	0.4265240042
23	0.7033512571	0.4249910521
24	0.7043008565	0.4236236824
25	0.7042756935	0.422597648
26	0.7047540344	0.4216688819
27	0.7058153059	0.4205710354
28	0.7063141329	0.419526923
29	0.7071745627	0.4187162368
30	0.7070545201	0.4180474112
31	0.7076160516	0.4172237911
32	0.7076268971	0.4163166598
33	0.7080429623	0.4155581792
34	0.7085819077	0.4148108687
35	0.7093044159	0.4139826336
36	0.7095786685	0.4134645752
37	0.7102576427	0.4127358424
38	0.7109884451	0.412109081
39	0.711045519	0.4116051028
40	0.7112556643	0.4111154106
41	0.7115162037	0.4106611395
42	0.7128436972	0.4100595109
43	0.714598936	0.4095761386
44	0.7152306424	0.4091013497
45	0.7157658047	0.4085040128
46	0.7169296483	0.4080065603
47	0.7174469799	0.4075605197
48	0.7176103812	0.407175856
49	0.7180082797	0.4068348734
50	0.7182544016	0.406579107
51	0.7187311508	0.4060666924
52	0.7196008717	0.4057434644
53	0.7204622503	0.4054341697
54	0.7209076027	0.4050302522
55	0.7209611136	0.4047194877
56	0.7214215835	0.4043422316
57	0.7219917487	0.4039085663
58	0.7225398856	0.4035090287
59	0.7231734541	0.4030938236
60	0.7236568037	0.4027359682
61	0.723849611	0.4023659727
62	0.7242674938	0.4020715812
63	0.7246875659	0.4017627567
64	0.7250091166	0.4013729195
65	0.725383761	0.4010497503
66	0.7262608616	0.4007207903
67	0.7265506765	0.4003798664
68	0.7268229715	0.400057726
69	0.7268684893	0.3996180054
70	0.727175563	0.3993961021
71	0.7273492031	0.3992128827
72	0.7274835058	0.3990318974
73	0.7276529725	0.398689445
74	0.7278637472	0.3983553408
75	0.7280062275	0.3979360204
76	0.7284593669	0.3977011833
77	0.7287421819	0.3973646981
78	0.7291496413	0.3971300668
79	0.7294387275	0.3968698617
80	0.7298460492	0.3964971912
81	0.7302839653	0.3963123845
82	0.7303487324	0.3961568847
83	0.7306245041	0.3958728991
84	0.7310163518	0.395525185
85	0.7311851113	0.3952304408
86	0.7313731379	0.3948804045
87	0.7315105436	0.394651564
88	0.7316316186	0.3943476485
89	0.7317396326	0.3941438232
90	0.7319163388	0.3939032835
91	0.7319847864	0.3936559535
92	0.7321292119	0.3934042436
93	0.732432463	0.3931198171
94	0.7325974166	0.3928433566
95	0.732814842	0.392550817
96	0.7330260442	0.3923170969
97	0.7332142292	0.3921314084
98	0.7332489089	0.3920070967
99	0.7335171977	0.3917982448
100	0.7337605099	0.3915760476
101	0.734087263	0.391399883
102	0.7339048276	0.391133652
103	0.7341457349	0.3908837059
104	0.7342978242	0.3907020738
105	0.7345836323	0.3905244101
106	0.7345577847	0.3904142962
107	0.7348172761	0.3901773133
108	0.7349447966	0.3899837469
109	0.7351492419	0.3898189288
110	0.7352165342	0.3895736271
111	0.7354411009	0.389379267
112	0.7354228187	0.3892337027
113	0.7356473643	0.3889811992
114	0.735861197	0.3888052992
115	0.7361013133	0.3886144959
116	0.7363532744	0.3883534384
117	0.7365617488	0.3881541987
118	0.7368005371	0.3880054303
119	0.737111571	0.387713949
120	0.7373796011	0.3875073017
121	0.7375521244	0.3873483921
122	0.7379221745	0.3870281917
123	0.7380964454	0.3868310097
124	0.7380983222	0.3866067254
125	0.7384641369	0.3863931998
126	0.7385864089	0.3862117441
127	0.7385379199	0.3860896958
128	0.7385309742	0.3859638556
129	0.7388057602	0.3857960686
130	0.7389241842	0.3855680218
131	0.7391321475	0.385393474
132	0.7393449725	0.3851668675
133	0.7395313511	0.3850112795
134	0.7396995213	0.3848379368
135	0.7398052463	0.3847036896
136	0.7399140472	0.3845705006
137	0.7400726896	0.3843967759
138	0.7403178817	0.3842497124
139	0.7405765964	0.3840633478
140	0.7407249107	0.3838688701
141	0.7407649007	0.3837372978
142	0.7410921559	0.383592439
143	0.7413044089	0.3834637474
144	0.7413976229	0.3833102759
145	0.7417063742	0.3830810532
146	0.7419443618	0.3828543292
147	0.7419456302	0.3827432453
148	0.7419972702	0.3825087903
149	0.7421135691	0.3823675471
150	0.7422566931	0.3822613721
151	0.742381867	0.3820248889
152	0.7426460267	0.3818992251
153	0.7427599295	0.3817517501
