iter	Passed	Remaining
0	15	60021
1	22	45405
2	27	36863
3	38	38492
4	44	35298
5	52	34716
6	59	33866
7	67	33774
8	72	32362
9	80	32308
10	86	31250
11	93	31157
12	101	31243
13	109	31161
14	117	31192
15	122	30503
16	130	30511
17	135	29866
18	142	29875
19	151	30098
20	159	30140
21	166	30190
22	172	29765
23	180	29884
24	188	29999
25	193	29643
26	202	29735
27	211	29972
28	219	30050
29	226	29978
30	230	29546
31	238	29537
32	242	29186
33	249	29140
34	256	29088
35	261	28764
36	268	28732
37	272	28431
38	279	28410
39	284	28138
40	291	28138
41	299	28251
42	304	28019
43	311	28006
44	318	27992
45	323	27782
46	331	27908
47	339	27939
48	346	27957
49	351	27767
50	359	27846
51	363	27632
52	371	27646
53	378	27636
54	382	27437
55	390	27481
56	394	27294
57	401	27286
58	409	27322
59	413	27146
60	420	27164
61	427	27176
62	432	27022
63	440	27064
64	447	27067
65	454	27082
66	458	26934
67	466	26946
68	473	26997
69	478	26862
70	485	26870
71	489	26730
72	498	26809
73	503	26686
74	509	26688
75	516	26692
76	525	26757
77	532	26781
78	537	26665
79	544	26685
80	552	26750
81	557	26639
82	564	26632
83	571	26632
84	575	26512
85	584	26590
86	591	26597
87	598	26589
88	602	26483
89	611	26548
90	615	26449
91	622	26451
92	629	26454
93	634	26360
94	642	26416
95	647	26313
96	653	26311
97	661	26320
98	666	26246
99	673	26284
100	681	26294
101	688	26309
102	693	26229
103	701	26280
104	706	26199
105	713	26215
106	720	26219
107	725	26147
108	733	26180
109	737	26094
110	745	26114
111	752	26118
112	760	26144
113	765	26082
114	772	26090
115	779	26100
116	784	26036
117	791	26044
118	796	25961
119	803	25974
120	812	26036
121	819	26050
122	823	25971
123	831	25984
124	840	26058
125	845	25991
126	852	25996
127	859	25996
128	863	25918
129	871	25948
130	876	25883
131	883	25886
132	890	25885
133	894	25815
134	902	25828
135	906	25750
136	913	25754
137	921	25777
138	928	25794
139	933	25731
140	940	25748
141	948	25767
142	952	25696
143	959	25697
144	967	25713
145	971	25656
146	980	25686
147	986	25684
148	993	25689
149	998	25619
150	1005	25623
151	1012	25625
152	1017	25576
153	1025	25598
154	1029	25546
155	1036	25546
156	1043	25553
157	1048	25493
158	1056	25526
159	1061	25468
160	1068	25468
161	1076	25500
162	1080	25446
163	1087	25445
164	1092	25386
165	1099	25386
166	1106	25386
167	1110	25331
168	1117	25331
169	1124	25335
170	1128	25277
171	1136	25285
172	1140	25226
173	1147	25235
174	1154	25239
175	1161	25240
176	1170	25292
177	1175	25247
178	1182	25251
179	1189	25250
180	1194	25206
181	1202	25230
182	1207	25184
183	1214	25188
184	1221	25198
185	1229	25209
186	1233	25154
187	1240	25151
188	1244	25100
189	1253	25138
190	1260	25142
191	1267	25144
192	1272	25099
193	1281	25140
194	1288	25136
195	1292	25089
196	1299	25093
197	1307	25104
198	1314	25106
199	1321	25113
200	1326	25065
201	1334	25095
202	1339	25045
203	1346	25048
204	1353	25050
205	1357	25007
206	1365	25015
207	1369	24969
208	1377	24979
209	1384	24988
210	1391	24993
211	1396	24949
212	1403	24945
213	1407	24903
214	1416	24940
215	1424	24946
216	1431	24949
217	1435	24907
218	1443	24914
219	1447	24877
220	1455	24882
221	1462	24884
222	1469	24890
223	1474	24854
224	1482	24880
225	1490	24890
226	1497	24893
227	1502	24855
228	1510	24871
229	1517	24865
230	1524	24869
231	1528	24826
232	1532	24784
233	1540	24795
234	1544	24750
235	1552	24756
236	1556	24716
237	1565	24741
238	1572	24742
239	1576	24701
240	1583	24701
241	1591	24715
242	1598	24716
243	1603	24680
244	1610	24682
245	1618	24691
246	1622	24654
247	1629	24659
248	1637	24665
249	1645	24683
250	1650	24646
251	1657	24648
252	1664	24647
253	1669	24619
254	1677	24633
255	1681	24598
256	1689	24602
257	1697	24625
258	1705	24628
259	1712	24630
260	1716	24595
261	1725	24618
262	1730	24587
263	1737	24589
264	1744	24587
265	1748	24550
266	1756	24559
267	1760	24521
268	1770	24555
269	1774	24520
270	1783	24537
271	1790	24539
272	1797	24542
273	1802	24508
274	1810	24520
275	1814	24483
276	1821	24479
277	1828	24479
278	1832	24440
279	1841	24461
280	1845	24428
281	1852	24426
282	1859	24428
283	1868	24446
284	1873	24415
285	1879	24412
286	1886	24411
287	1891	24376
288	1899	24389
289	1904	24360
290	1911	24361
291	1918	24363
292	1924	24350
293	1932	24355
294	1938	24352
295	1943	24322
296	1950	24324
297	1958	24326
298	1962	24295
299	1970	24298
300	1974	24264
301	1982	24277
302	1989	24275
303	1996	24275
304	2000	24237
305	2009	24256
306	2013	24222
307	2020	24216
308	2027	24213
309	2031	24181
310	2039	24190
311	2043	24153
312	2050	24153
313	2057	24152
314	2062	24125
315	2069	24123
316	2076	24126
317	2083	24127
318	2092	24144
319	2097	24122
320	2104	24122
321	2111	24120
322	2116	24092
323	2124	24101
324	2131	24104
325	2139	24107
326	2146	24110
327	2151	24081
328	2159	24090
329	2163	24057
330	2170	24055
331	2177	24054
332	2181	24025
333	2188	24023
334	2193	23994
335	2200	23998
336	2205	23968
337	2212	23973
338	2217	23945
339	2224	23947
340	2229	23917
341	2236	23920
342	2243	23923
343	2248	23897
344	2256	23903
345	2264	23914
346	2271	23915
347	2278	23913
348	2282	23883
349	2289	23878
350	2296	23877
351	2301	23854
352	2309	23857
353	2316	23859
354	2321	23831
355	2330	23854
356	2337	23850
357	2344	23850
358	2349	23825
359	2356	23828
360	2361	23805
361	2368	23805
362	2376	23810
363	2380	23783
364	2389	23800
365	2396	23799
366	2404	23800
367	2408	23775
368	2416	23779
369	2421	23754
370	2428	23751
371	2435	23751
372	2440	23727
373	2448	23735
374	2452	23706
375	2459	23703
376	2466	23703
